"CAS"	"Synonyms"	"DatabaseCount"
"56-23-5"	"CARBON TETRACHLORIDE;Tetrachloromethane;56-23-5"	20
"62-75-9"	"N-NITROSODIMETHYLAMINE;Dimethylnitrosamine;62-75-9"	20
"75-00-3"	"Chloroethane;ETHYL CHLORIDE;Ethane, chloro-"	20
"75-21-8"	"Oxirane;ETHYLENE OXIDE;Epoxyethane"	20
"75-35-4"	"Vinylidene chloride;1,1-DICHLOROETHYLENE;1,1-Dichloroethene"	20
"77-78-1"	"DIMETHYL SULFATE;77-78-1;Dimethyl sulphate"	20
"79-06-1"	"ACRYLAMIDE;2-Propenamide;79-06-1"	20
"79-34-5"	"1,1,2,2-TETRACHLOROETHANE;79-34-5;Acetylene tetrachloride"	20
"85-68-7"	"Benzyl butyl phthalate;BUTYL BENZYL PHTHALATE;85-68-7"	20
"95-53-4"	"o-Toluidine;2-Methylaniline;95-53-4"	20
"98-82-8"	"CUMENE;Isopropylbenzene;98-82-8"	20
"98-95-3"	"NITROBENZENE;98-95-3;Nitrobenzol"	20
"106-94-5"	"1-BROMOPROPANE;N-Propyl bromide;106-94-5"	19
"107-30-2"	"CHLOROMETHYL METHYL ETHER;107-30-2;chloro(methoxy)methane"	19
"108-05-4"	"VINYL ACETATE;108-05-4;Ethenyl acetate"	19
"108-31-6"	"MALEIC ANHYDRIDE;2,5-Furandione;108-31-6"	19
"108-39-4"	"m-cresol;3-methylphenol;Metacresol"	19
"108-46-3"	"resorcinol;108-46-3;1,3-Benzenediol"	19
"108-90-7"	"CHLOROBENZENE;108-90-7;Monochlorobenzene"	19
"110-19-0"	"ISOBUTYL ACETATE;110-19-0;2-Methylpropyl acetate"	19
"1163-19-5"	"Decabromodiphenyl ether;Decabromodiphenyl oxide;1163-19-5"	19
"118-96-7"	"2,4,6-TRINITROTOLUENE;Trinitrotoluene;Trotyl"	19
"120-12-7"	"ANTHRACENE;120-12-7;Paranaphthalene"	19
"122-39-4"	"Diphenylamine;N-Phenylaniline;122-39-4"	19
"123-31-9"	"hydroquinone;1,4-benzenediol;Benzene-1,4-diol"	19
"123-38-6"	"Propionaldehyde;propanal;123-38-6"	19
"26471-62-5"	";ANILINE;Benzenamine"	19
"62-53-3"	"ANILINE;Benzenamine;62-53-3"	19
"64-67-5"	"Diethyl sulfate;64-67-5;Sulfuric acid, diethyl ester"	19
"68-12-2"	"N,N-DIMETHYLFORMAMIDE;Dimethylformamide;68-12-2"	19
"74-83-9"	"Bromomethane;METHYL BROMIDE;74-83-9"	19
"7440-38-2"	"7440-38-2;Arsenic;As"	19
"75-07-0"	"acetaldehyde;ethanal;75-07-0"	19
"75-56-9"	"Propylene oxide;2-Methyloxirane;75-56-9"	19
"76-03-9"	"TRICHLOROACETIC ACID;76-03-9;Trichloroethanoic acid"	19
"79-00-5"	"1,1,2-TRICHLOROETHANE;79-00-5;Ethane, 1,1,2-trichloro-"	19
"84-74-2"	"dibutyl phthalate;84-74-2;Di-n-butyl phthalate"	19
"91-94-1"	"3,3'-DICHLOROBENZIDINE;91-94-1;3,3'-Dichlorobiphenyl-4,4'-diamine"	19
"98-01-1"	"FURFURAL;2-Furaldehyde;furan-2-carbaldehyde"	19
"98-07-7"	"BENZOTRICHLORIDE;(Trichloromethyl)benzene;98-07-7"	19
"100-01-6"	"4-NITROANILINE;p-Nitroaniline;100-01-6"	18
"100-02-7"	"4-Nitrophenol;p-nitrophenol;100-02-7"	18
"100-63-0"	"PHENYLHYDRAZINE;100-63-0;Hydrazinobenzene"	18
"106-47-8"	"4-CHLOROANILINE;106-47-8;p-Chloroaniline"	18
"106-49-0"	"p-Toluidine;4-Methylaniline;106-49-0"	18
"106-50-3"	"p-Phenylenediamine;benzene-1,4-diamine;106-50-3"	18
"106-88-7"	"1,2-Epoxybutane;2-Ethyloxirane;106-88-7"	18
"106-92-3"	"ALLYL GLYCIDYL ETHER;106-92-3;Glycidyl allyl ether"	18
"110-00-9"	"FURAN;110-00-9;Divinylene oxide"	18
"110-54-3"	"HEXANE;n-Hexane;110-54-3"	18
"110-86-1"	"PYRIDINE;Azabenzene;110-86-1"	18
"110-91-8"	"MORPHOLINE;110-91-8;1-Oxa-4-azacyclohexane"	18
"111-15-9"	"2-Ethoxyethyl acetate;111-15-9;ETHYLENE GLYCOL MONOETHYL ETHER ACETATE"	18
"111-30-8"	"glutaraldehyde;Pentanedial;Glutaral"	18
"118-74-1"	"HEXACHLOROBENZENE;Perchlorobenzene;118-74-1"	18
"119-93-7"	"o-Tolidine;119-93-7;3,3'-DIMETHYLBENZIDINE"	18
"121-14-2"	"2,4-DINITROTOLUENE;121-14-2;1-Methyl-2,4-dinitrobenzene"	18
"123-42-2"	"Diacetone alcohol;4-HYDROXY-4-METHYL-2-PENTANONE;123-42-2"	18
"124-40-3"	"dimethylamine;N-Methylmethanamine;124-40-3"	18
"1309-64-4"	";aldrin;Aldrine"	18
"309-00-2"	"aldrin;Aldrine;Aldron"	18
"50-29-3"	"Clofenotane;p,p'-DDT;Chlorophenothane"	18
"56-35-9"	"Tributyltin oxide;56-35-9;BIS(TRIBUTYLTIN) OXIDE"	18
"67-64-1"	"acetone;2-propanone;propanone"	18
"67-72-1"	"HEXACHLOROETHANE;67-72-1;Perchloroethane"	18
"72-20-8"	"dieldrin;ENDRIN;Endricol"	18
"7439-92-1"	"7439-92-1;Lead;Pb"	18
"7439-97-6"	"7439-97-6;Hg;Mercury"	18
"7440-41-7"	"7440-41-7;Be;Beryllium"	18
"75-15-0"	"CARBON DISULFIDE;Carbon disulphide;Carbon bisulfide"	18
"76-44-8"	"heptachlor;Heptachlorane;Heptamul"	18
"77-47-4"	"HEXACHLOROCYCLOPENTADIENE;77-47-4;Graphlox"	18
"78-87-5"	"1,2-DICHLOROPROPANE;78-87-5;Propylene dichloride"	18
"78-93-3"	"2-Butanone;METHYL ETHYL KETONE;Butan-2-one"	18
"8001-35-2"	"toxaphene;8001-35-2;1,4,5,6,7,7-hexachloro-2,2-bis(chloromethyl)-3-methylidenebicyclo[2.2.1]heptane"	18
"87-86-5"	"pentachlorophenol;87-86-5;2,3,4,5,6-Pentachlorophenol"	18
"90-04-0"	"O-ANISIDINE;2-Methoxyaniline;90-04-0"	18
"92-52-4"	"Biphenyl;1,1'-Biphenyl;92-52-4"	18
"96-12-8"	"1,2-DIBROMO-3-CHLOROPROPANE;96-12-8;3-Chloro-1,2-dibromopropane"	18
"96-45-7"	"2-Imidazolidinethione;imidazolidine-2-thione;Ethylenethiourea"	18
"100-52-7"	"benzaldehyde;100-52-7;Benzoic aldehyde"	17
"100-61-8"	"N-METHYLANILINE;100-61-8;Methylaniline"	17
"10025-87-3"	"PHOSPHORUS OXYCHLORIDE;Phosphoryl chloride;10025-87-3"	17
"10124-43-3"	"Cobalt sulfate;Cobaltous sulfate;Cobalt(2+) sulfate"	17
"105-60-2"	"azepan-2-one;epsilon-Caprolactam;CAPROLACTAM"	17
"105-67-9"	"2,4-DIMETHYLPHENOL;105-67-9;2,4-Xylenol"	17
"107-19-7"	"PROPARGYL ALCOHOL;2-Propyn-1-ol;Prop-2-yn-1-ol"	17
"107-31-3"	"METHYL FORMATE;107-31-3;Formic acid, methyl ester"	17
"108-11-2"	"4-METHYL-2-PENTANOL;4-Methylpentan-2-ol;108-11-2"	17
"108-67-8"	"MESITYLENE;1,3,5-Trimethylbenzene;108-67-8"	17
"109-60-4"	"Propyl acetate;109-60-4;N-PROPYL ACETATE"	17
"109-66-0"	"PENTANE;n-Pentane;109-66-0"	17
"109-69-3"	"1-Chlorobutane;Butyl chloride;109-69-3"	17
"111-42-2"	"DIETHANOLAMINE;111-42-2;2,2'-Iminodiethanol"	17
"111-65-9"	"octane;n-octane;111-65-9"	17
"115-07-1"	"PROPYLENE;Propene;1-Propene"	17
"121-44-8"	"TRIETHYLAMINE;N,N-Diethylethanamine;121-44-8"	17
"121-75-5"	"malathion;121-75-5;Carbophos"	17
"121-82-4"	"CYCLONITE;Hexogen;Hexolite"	17
"123-86-4"	"Butyl acetate;N-BUTYL ACETATE;123-86-4"	17
"126-98-7"	"Methacrylonitrile;126-98-7;2-Propenenitrile, 2-methyl-"	17
"128-37-0"	"2,6-Di-tert-butyl-4-methylphenol;128-37-0;Butylated hydroxytoluene"	17
"1306-19-0"	"CADMIUM OXIDE;1306-19-0;Cadmium oxide (CdO)"	17
"1310-73-2"	"SODIUM HYDROXIDE;Caustic soda;1310-73-2"	17
"1330-20-7"	";ETHYL ACRYLATE;140-88-5"	17
"140-88-5"	"ETHYL ACRYLATE;140-88-5;Acrylic acid ethyl ester"	17
"541-73-1"	"1,3-DICHLOROBENZENE;m-Dichlorobenzene;541-73-1"	17
"56-38-2"	"parathion;ethyl parathion;Thiophos"	17
"56-55-3"	"Benz[a]anthracene;Tetraphene;56-55-3"	17
"58-89-9"	"lindane;beta-HCH;gamma-HCH"	17
"584-84-9"	"584-84-9;2,4-Diisocyanato-1-methylbenzene;2,4-Toluene diisocyanate"	17
"593-60-2"	"VINYL BROMIDE;Bromoethene;Bromoethylene"	17
"62-56-6"	"THIOUREA;Thiocarbamide;62-56-6"	17
"62-73-7"	"dichlorvos;62-73-7;DDVP"	17
"63-25-2"	"CARBARYL;Carbaril;63-25-2"	17
"67-56-1"	"methanol;methyl alcohol;wood alcohol"	17
"71-55-6"	"1,1,1-TRICHLOROETHANE;Methylchloroform;TRICHLOROETHANE"	17
"74-88-4"	"IODOMETHANE;Methyl iodide;74-88-4"	17
"74-90-8"	"hydrogen cyanide;hydrocyanic acid;Formonitrile"	17
"74-96-4"	"Bromoethane;74-96-4;ETHYL BROMIDE"	17
"7440-48-4"	"7440-48-4;Co;Cobalt"	17
"75-05-8"	"ACETONITRILE;Cyanomethane;Methyl cyanide"	17
"75-34-3"	"1,1-DICHLOROETHANE;Ethylidene chloride;75-34-3"	17
"75-52-5"	"NITROMETHANE;75-52-5;Methane, nitro-"	17
"7647-01-0"	"hydrochloric acid;hydrogen chloride;7647-01-0"	17
"7664-41-7"	"ammonia;7664-41-7;azane"	17
"7782-50-5"	"7782-50-5;Chlorine;Cl"	17
"7783-06-4"	"hydrogen sulfide;sulfane;Hydrosulfuric acid"	17
"79-10-7"	"ACRYLIC ACID;2-Propenoic acid;79-10-7"	17
"79-46-9"	"2-nitropropane;79-46-9;Propane, 2-nitro-"	17
"80-62-6"	"METHYL METHACRYLATE;80-62-6;Methylmethacrylate"	17
"85-44-9"	"PHTHALIC ANHYDRIDE;85-44-9;Isobenzofuran-1,3-dione"	17
"88-72-2"	"2-Nitrotoluene;1-Methyl-2-nitrobenzene;O-NITROTOLUENE"	17
"92-87-5"	"BENZIDINE;92-87-5;4,4'-Diaminobiphenyl"	17
"95-48-7"	"o-cresol;2-Methylphenol;95-48-7"	17
"101-83-7"	"DICYCLOHEXYLAMINE;N-Cyclohexylcyclohexanamine;101-83-7"	16
"10102-43-9"	"nitric oxide;nitrogen monoxide;Mononitrogen monoxide"	16
"10102-44-0"	"10102-44-0;Nitrogen dioxide;Nitrogen dioxide, >=99.5%"	16
"106-42-3"	"P-XYLENE;1,4-Dimethylbenzene;Para-Xylene"	16
"107-07-3"	"2-chloroethanol;Ethylene chlorohydrin;Ethanol, 2-chloro-"	16
"107-18-6"	"ALLYL ALCOHOL;2-Propen-1-ol;107-18-6"	16
"107-21-1"	"ETHYLENE GLYCOL;1,2-ethanediol;Ethane-1,2-diol"	16
"107-83-5"	"2-METHYLPENTANE;Isohexane;107-83-5"	16
"107-98-2"	"1-Methoxy-2-propanol;107-98-2;1-Methoxypropan-2-ol"	16
"108-03-2"	"1-NITROPROPANE;108-03-2;Propane, 1-nitro-"	16
"108-24-7"	"ACETIC ANHYDRIDE;Acetyl acetate;108-24-7"	16
"108-45-2"	"m-Phenylenediamine;benzene-1,3-diamine;108-45-2"	16
"108-83-8"	"2,6-Dimethyl-4-heptanone;2,6-Dimethylheptan-4-one;DIISOBUTYL KETONE"	16
"108-87-2"	"METHYLCYCLOHEXANE;108-87-2;Cyclohexane, methyl-"	16
"109-73-9"	"Butylamine;N-BUTYLAMINE;butan-1-amine"	16
"109-89-7"	"DIETHYLAMINE;N-Ethylethanamine;109-89-7"	16
"109-94-4"	"ETHYL FORMATE;109-94-4;Formic acid, ethyl ester"	16
"110-12-3"	"5-METHYL-2-HEXANONE;5-Methylhexan-2-one;110-12-3"	16
"110-43-0"	"2-HEPTANONE;Heptan-2-one;110-43-0"	16
"110-82-7"	"CYCLOHEXANE;110-82-7;Hexamethylene"	16
"110-83-8"	"CYCLOHEXENE;110-83-8;Tetrahydrobenzene"	16
"111-96-6"	"Diglyme;111-96-6;2-Methoxyethyl ether"	16
"112-34-5"	"2-(2-Butoxyethoxy)ethanol;112-34-5;DIETHYLENE GLYCOL MONOBUTYL ETHER"	16
"1120-71-4"	"1,3-Propanesultone;1120-71-4;1,3-PROPANE SULTONE"	16
"115-96-8"	"115-96-8;Tri(beta-chloroethyl) phosphate;Tris(2-chloroethyl) orthophosphate"	16
"123-77-3"	"Azodicarbonamide;Diazenedicarboxamide;Azodicarboxamide"	16
"12427-38-2"	"MANEB;12427-38-2;manganese(II) ethane-1,2-diyldicarbamodithioate"	16
"127-19-5"	"N,N-DIMETHYLACETAMIDE;127-19-5;Dimethylacetamide"	16
"131-11-3"	"Dimethyl phthalate;131-11-3;DIMETHYLPHTHALATE"	16
"1327-53-3"	";2-BUTANONE PEROXIDE;1338-23-4"	16
"1338-23-4"	"2-BUTANONE PEROXIDE;1338-23-4;Methyl ethyl ketone peroxide"	16
"138-86-3"	"LIMONENE;Dipentene;Cinene"	16
"141-43-5"	"Ethanolamine;2-aminoethanol;monoethanolamine"	16
"141-78-6"	"ETHYL ACETATE;141-78-6;Ethyl ethanoate"	16
"142-82-5"	"HEPTANE;n-Heptane;142-82-5"	16
"1912-24-9"	"atrazine;1912-24-9;Gesaprim"	16
"25321-14-6"	"2,3-DINITROTOLUENE;602-01-7;1-Methyl-2,3-dinitrobenzene"	16
"25637-99-4"	"1,1,2,2,3,3-hexabromocyclododecane;25637-99-4;1235106-66-7"	16
"32534-81-9"	";CYANOGEN CHLORIDE;Chlorine cyanide"	16
"506-77-4"	"CYANOGEN CHLORIDE;Chlorine cyanide;Chlorocyanide"	16
"51-79-6"	"urethane;ETHYL CARBAMATE;51-79-6"	16
"563-47-3"	"3-Chloro-2-methylpropene;563-47-3;Methallyl chloride"	16
"591-78-6"	"2-HEXANONE;Hexan-2-one;591-78-6"	16
"5989-27-5"	"D-Limonene;(+)-Limonene;5989-27-5"	16
"61-82-5"	"3-amino-1,2,4-triazole;Amitrole;61-82-5"	16
"624-83-9"	"METHYL ISOCYANATE;Isocyanatomethane;Methane, isocyanato-"	16
"64-18-6"	"formic acid;Methanoic acid;64-18-6"	16
"68-11-1"	"mercaptoacetic acid;thioglycolic acid;68-11-1"	16
"71-36-3"	"1-butanol;butanol;Butan-1-ol"	16
"7440-02-0"	"7440-02-0;Ni;Nickel"	16
"7440-22-4"	"7440-22-4;Ag;Silver"	16
"7440-36-0"	"7440-36-0;Antimony;Sb"	16
"7440-66-6"	"7440-66-6;Zinc;Zn"	16
"75-50-3"	"trimethylamine;N,N-dimethylmethanamine;75-50-3"	16
"7664-39-3"	"HYDROFLUORIC ACID;Hydrogen fluoride;7664-39-3"	16
"7664-93-9"	"SULFURIC ACID;Sulphuric acid;7664-93-9"	16
"7722-84-1"	"hydrogen peroxide;7722-84-1;perhydrol"	16
"7723-14-0"	"12185-10-3;27YLU75U4W;7723-14-0"	16
"78-79-5"	"ISOPRENE;2-Methyl-1,3-butadiene;78-79-5"	16
"7803-51-2"	"7803-51-2;FW6947296I;Phosphine"	16
"8001-58-9"	";1,6-Diisocyanatohexane;HEXAMETHYLENE DIISOCYANATE"	16
"822-06-0"	"1,6-Diisocyanatohexane;HEXAMETHYLENE DIISOCYANATE;822-06-0"	16
"94-75-7"	"2,4-dichlorophenoxyacetic acid;94-75-7;2,4-D"	16
"96-33-3"	"METHYL ACRYLATE;96-33-3;Methylacrylate"	16
"98-83-9"	"alpha-Methylstyrene;2-Phenylpropene;Isopropenylbenzene"	16
"99-65-0"	"1,3-Dinitrobenzene;99-65-0;M-DINITROBENZENE"	16
"99-99-0"	"4-NITROTOLUENE;1-Methyl-4-nitrobenzene;p-Nitrotoluene"	16
"100-37-8"	"2-(Diethylamino)ethanol;2-Diethylaminoethanol;N,N-Diethylethanolamine"	15
"100-40-3"	"4-Vinylcyclohexene;4-VINYL-1-CYCLOHEXENE;100-40-3"	15
"100-51-6"	"benzyl alcohol;phenylmethanol;benzenemethanol"	15
"100-97-0"	"methenamine;Hexamethylenetetramine;100-97-0"	15
"10035-10-6"	"Hydrogen bromide;HYDROBROMIC ACID;10035-10-6"	15
"10043-35-3"	"BORIC ACID;Orthoboric acid;10043-35-3"	15
"101-80-4"	"4,4'-Oxydianiline;101-80-4;4,4'-Diaminodiphenyl ether"	15
"103-11-7"	"2-ETHYLHEXYL ACRYLATE;103-11-7;2-ethylhexyl prop-2-enoate"	15
"103-23-1"	"BIS(2-ETHYLHEXYL) ADIPATE;103-23-1;Di(2-ethylhexyl) adipate"	15
"104-94-9"	"p-Anisidine;4-Methoxyaniline;104-94-9"	15
"106-51-4"	"p-benzoquinone;1,4-BENZOQUINONE;Benzoquinone"	15
"106-97-8"	"BUTANE;n-Butane;106-97-8"	15
"107-41-5"	"Hexylene glycol;2-METHYL-2,4-PENTANEDIOL;107-41-5"	15
"108-18-9"	"DIISOPROPYLAMINE;108-18-9;2-Propanamine, N-(1-methylethyl)-"	15
"108-20-3"	"Diisopropyl ether;ISOPROPYL ETHER;108-20-3"	15
"108-44-1"	"m-Toluidine;3-Methylaniline;108-44-1"	15
"108-68-9"	"3,5-DIMETHYLPHENOL;3,5-Xylenol;108-68-9"	15
"108-89-4"	"4-METHYLPYRIDINE;4-Picoline;108-89-4"	15
"108-91-8"	"CYCLOHEXYLAMINE;Cyclohexanamine;108-91-8"	15
"110-85-0"	"piperazine;110-85-0;Diethylenediamine"	15
"111-27-3"	"1-Hexanol;Hexan-1-ol;Hexyl alcohol"	15
"111-40-0"	"DIETHYLENETRIAMINE;111-40-0;Bis(2-aminoethyl)amine"	15
"111-69-3"	"ADIPONITRILE;Hexanedinitrile;1,4-Dicyanobutane"	15
"111-92-2"	"DIBUTYLAMINE;Di-n-butylamine;111-92-2"	15
"112-07-2"	"2-Butoxyethyl acetate;112-07-2;ETHYLENE GLYCOL MONOBUTYL ETHER ACETATE"	15
"112-24-3"	"TRIETHYLENETETRAMINE;trientine;112-24-3"	15
"115-10-6"	"DIMETHYL ETHER;Methoxymethane;Methyl ether"	15
"115-29-7"	"endosulfan;Benzoepin;115-29-7"	15
"115-86-6"	"TRIPHENYL PHOSPHATE;115-86-6;Triphenylphosphate"	15
"119-90-4"	"3,3'-DIMETHOXYBENZIDINE;o-Dianisidine;119-90-4"	15
"120-83-2"	"2,4-DICHLOROPHENOL;120-83-2;Phenol, 2,4-dichloro-"	15
"123-51-3"	"Isoamyl alcohol;3-Methyl-1-butanol;Isopentyl alcohol"	15
"123-54-6"	"Acetylacetone;2,4-Pentanedione;Pentane-2,4-dione"	15
"126-73-8"	"TRIBUTYL PHOSPHATE;126-73-8;Tri-n-butyl phosphate"	15
"1309-37-1"	";POTASSIUM HYDROXIDE;1310-58-3"	15
"1310-58-3"	"POTASSIUM HYDROXIDE;1310-58-3;Caustic potash"	15
"1314-13-2"	"ZINC OXIDE;1314-13-2;oxozinc"	15
"1317-38-0"	";Divinylbenzene;1,2-Divinylbenzene"	15
"1321-74-0"	"Divinylbenzene;1,2-Divinylbenzene;1321-74-0"	15
"1330-43-4"	"1330-43-4;Borax Anhydrous;Borax glass"	15
"1336-21-6"	"ammonium hydroxide;1336-21-6;Ammonia aqueous"	15
"137-26-8"	"thiram;Tetramethylthiuram disulfide;137-26-8"	15
"141-32-2"	"BUTYL ACRYLATE;n-Butyl acrylate;141-32-2"	15
"143-33-9"	"SODIUM CYANIDE;143-33-9;Cymag"	15
"143-50-0"	"chlordecone;Kepone;143-50-0"	15
"151-50-8"	"POTASSIUM CYANIDE;151-50-8;Potassium cyanide (K(CN))"	15
"151-56-4"	"Aziridine;ETHYLENEIMINE;Ethylenimine"	15
"1897-45-6"	"CHLOROTHALONIL;Tetrachloroisophthalonitrile;1897-45-6"	15
"207-08-9"	"Benzo[k]fluoranthene;BENZO(K)FLUORANTHENE;207-08-9"	15
"218-01-9"	"CHRYSENE;218-01-9;Benzo[a]phenanthrene"	15
"2425-06-1"	"Captafol;Merpafol;Folcid"	15
"25013-15-4"	";sodium azide;26628-22-8"	15
"26628-22-8"	"sodium azide;26628-22-8;Azide, sodium"	15
"2921-88-2"	"chlorpyrifos;2921-88-2;Chlorpyriphos"	15
"300-76-5"	"naled;Dibrom;Bromchlophos"	15
"32536-52-0"	"Octabromodiphenyl ether;32536-52-0;85446-17-9"	15
"4170-30-3"	"CROTONALDEHYDE;2-Butenal;Crotonal"	15
"420-04-2"	"CYANAMIDE;420-04-2;Hydrogen cyanamide"	15
"50-32-8"	"benzo[a]pyrene;50-32-8;3,4-Benzopyrene"	15
"51-28-5"	"2,4-dinitrophenol;51-28-5;Phenol, 2,4-dinitro-"	15
"540-84-1"	"2,2,4-Trimethylpentane;Isooctane;540-84-1"	15
"542-88-1"	"BIS(CHLOROMETHYL) ETHER;542-88-1;Bis(chloromethyl)ether"	15
"55-38-9"	"fenthion;55-38-9;Mercaptophos"	15
"556-52-5"	"GLYCIDOL;556-52-5;oxiran-2-ylmethanol"	15
"60-57-1"	"dieldrin;HEOD;60-57-1"	15
"62-74-8"	"1080;sodium fluoroacetate;Sodium monofluoroacetate"	15
"630-08-0"	"carbon monoxide;carbon monooxide;Carbonic oxide"	15
"64-17-5"	"ethanol;ethyl alcohol;alcohol"	15
"74-89-5"	"METHYLAMINE;Methanamine;Aminomethane"	15
"7439-96-5"	"7439-96-5;Manganese;Mn"	15
"7440-39-3"	"7440-39-3;Ba;Barium"	15
"7440-50-8"	"7440-50-8;Copper;Cu"	15
"75-25-2"	"Bromoform;tribromomethane;75-25-2"	15
"75-44-5"	"PHOSGENE;Carbonyl dichloride;Carbonic dichloride"	15
"75-55-8"	"2-Methylaziridine;PROPYLENEIMINE;Propylenimine"	15
"75-65-0"	"tert-Butanol;tert-Butyl alcohol;2-Methyl-2-propanol"	15
"7664-38-2"	"Phosphoric acid;7664-38-2;ORTHOPHOSPHORIC ACID"	15
"77-73-6"	"DICYCLOPENTADIENE;77-73-6;Cyclopentadiene dimer"	15
"7719-12-2"	"PHOSPHORUS TRICHLORIDE;Phosphorous trichloride;Trichlorophosphine"	15
"7758-97-6"	"LEAD CHROMATE;7758-97-6;Lead(II) chromate"	15
"7782-41-4"	"7782-41-4;F;Fluorine"	15
"7782-49-2"	"7782-49-2;Se;Selenium"	15
"7784-42-1"	"7784-42-1;arsane;Arsenic hydride"	15
"78-83-1"	"Isobutanol;2-Methyl-1-propanol;ISOBUTYL ALCOHOL"	15
"79-43-6"	"DICHLOROACETIC ACID;79-43-6;2,2-Dichloroacetic acid"	15
"80-05-7"	"Bisphenol A;80-05-7;2,2-Bis(4-hydroxyphenyl)propane"	15
"81-81-2"	"warfarin;Coumadin;81-81-2"	15
"87-62-7"	"2,6-Dimethylaniline;87-62-7;2,6-XYLIDINE"	15
"87-68-3"	"HEXACHLORO-1,3-BUTADIENE;Hexachlorobutadiene;87-68-3"	15
"88-06-2"	"2,4,6-TRICHLOROPHENOL;88-06-2;Phenol, 2,4,6-trichloro-"	15
